url,арт,Назва,обєм,ціна
https://hmel-master.com/ua/p3150866271-peregonnyj-kub-magnum.html,MAGNUM-LITE14,"Перегінний куб Magnum Lite (одношарове дно)",14,2990
https://hmel-master.com/ua/p3150866272-peregonnyj-kub-magnum.html,MAGNUM-LITE14T,"Перегінний куб Magnum Lite (одношарове дно)",14,3490
https://hmel-master.com/ua/p3150866273-peregonnyj-kub-magnum.html,MAGNUM-LITE21T,"Перегінний куб Magnum Lite (одношарове дно)",21,4100
https://hmel-master.com/ua/p3150866274-peregonnyj-kub-magnum.html,MAGNUM-LITE33T,"Перегінний куб Magnum Lite (одношарове дно)",33,5000
https://hmel-master.com/ua/p3147005440-peregonnyj-kub-magnum.html,MAGNUM-CLASSIC25-2,"Перегінний куб Magnum Classic (тришарове дно)",25,5950
https://hmel-master.com/ua/p3147014208-25l3-peregonnyj-kub.html,MAGNUM-CLASSIC25-3,"25л/3"" Перегінний куб Magnum Classic (тришарове дно)",25,6250
https://hmel-master.com/ua/p3147014209-25l4-peregonnyj-kub.html,MAGNUM-CLASSIC25-4,"25л/4"" Перегінний куб Magnum Classic (тришарове дно)",25,6350
https://hmel-master.com/ua/p3147014210-40l2-peregonnyj-kub.html,MAGNUM-CLASSIC40-2,"40л/2"" Перегінний куб Magnum Classic (тришарове дно)",40,6950
https://hmel-master.com/ua/p3147014211-40l3-peregonnyj-kub.html,MAGNUM-CLASSIC40-3,"40л/3"" Перегінний куб Magnum Classic (тришарове дно)",40,7350
https://hmel-master.com/ua/p3147014212-40l4-peregonnyj-kub.html,MAGNUM-CLASSIC40-4,"40л/4"" Перегінний куб Magnum Classic (тришарове дно)",40,7450
https://hmel-master.com/ua/p3147014213-60l2-peregonnyj-kub.html,MAGNUM-CLASSIC60-2,"60л/2"" Перегінний куб Magnum Classic (тришарове дно)",60,8950
https://hmel-master.com/ua/p3147014214-60l3-peregonnyj-kub.html,MAGNUM-CLASSIC60-3,"60л/3"" Перегінний куб Magnum Classic (тришарове дно)",60,9350
https://hmel-master.com/ua/p3147014215-60l4-peregonnyj-kub.html,MAGNUM-CLASSIC60-4,"60л/4"" Перегінний куб Magnum Classic (тришарове дно)",60,9450
https://hmel-master.com/ua/p3147014216-85l2-peregonnyj-kub.html,MAGNUM-CLASSIC85-2,"85л/2"" Перегінний куб Magnum Classic (тришарове дно)",85,11450
https://hmel-master.com/ua/p3147014217-85l3-peregonnyj-kub.html,MAGNUM-CLASSIC85-3,"85л/3"" Перегінний куб Magnum Classic (тришарове дно)",85,11850
https://hmel-master.com/ua/p3147014218-85l4-peregonnyj-kub.html,MAGNUM-CLASSIC85-4,"85л/4"" Перегінний куб Magnum Classic (тришарове дно)",85,11950
https://hmel-master.com/ua/p3147014219-125l2-peregonnyj-kub.html,MAGNUM-CLASSIC125-2,"125л/2"" Перегінний куб Magnum Classic (тришарове дно)",125,12950
https://hmel-master.com/ua/p3147014220-125l3-peregonnyj-kub.html,MAGNUM-CLASSIC125-3,"125л/3"" Перегінний куб Magnum Classic (тришарове дно)",125,13350
https://hmel-master.com/ua/p3147014221-125l4-peregonnyj-kub.html,MAGNUM-CLASSIC125-4,"125л/4"" Перегінний куб Magnum Classic (тришарове дно)",125,13450
https://hmel-master.com/ua/p3141819998-peregonnyj-kub-magnum.html,MAGNUM-PRIME25-2,"Перегінний куб Magnum Prime (аламбічна кришка, тришарове дно)",25,6990
https://hmel-master.com/ua/p3142037623-25l3-peregonnyj-kub.html,MAGNUM-PRIME25-3,"25л/3"" Перегінний куб Magnum Prime (аламбічна кришка, тришарове дно)",25,7650
https://hmel-master.com/ua/p3142037624-25l4-peregonnyj-kub.html,MAGNUM-PRIME25-4,"25л/4"" Перегінний куб Magnum Prime (аламбічна кришка, тришарове дно)",25,7750
https://hmel-master.com/ua/p3142037625-40l2-peregonnyj-kub.html,MAGNUM-PRIME40-2,"40л/2"" Перегінний куб Magnum Prime (аламбічна кришка, тришарове дно)",40,8500
https://hmel-master.com/ua/p3142037626-40l3-peregonnyj-kub.html,MAGNUM-PRIME40-3,"40л/3"" Перегінний куб Magnum Prime (аламбічна кришка, тришарове дно)",40,8900
https://hmel-master.com/ua/p3142037627-40l4-peregonnyj-kub.html,MAGNUM-PRIME40-4,"40л/4"" Перегінний куб Magnum Prime (аламбічна кришка, тришарове дно)",40,9000
https://hmel-master.com/ua/p3142037628-60l2-peregonnyj-kub.html,MAGNUM-PRIME60-2,"60л/2"" Перегінний куб Magnum Prime (аламбічна кришка, тришарове дно)",60,9750
https://hmel-master.com/ua/p3142037629-60l3-peregonnyj-kub.html,MAGNUM-PRIME60-3,"60л/3"" Перегінний куб Magnum Prime (аламбічна кришка, тришарове дно)",60,10150
https://hmel-master.com/ua/p3142037630-60l4-peregonnyj-kub.html,MAGNUM-PRIME60-4,"60л/4"" Перегінний куб Magnum Prime (аламбічна кришка, тришарове дно)",60,10250
https://hmel-master.com/ua/p2237252382-130l4-firmennyj-peregonnyj.html,32894309,"130л/4"" Фірмовий перегінний куб",130,17500
https://hmel-master.com/ua/p2202121203-peregonnyj-kub-mednoj.html,MAGNUMCOPPER40-2,"Перегінний куб з мідною кришкою",40,11500
