sku,назва товару укр,назва категорії
95825563,"1,5 дюйма Клапан безпеки",Аксесуари для самогоноваріння
37928030,"1,5&quot; Кульовий кран кламповий 38мм",Аксесуари для самогоноваріння
21718695/COPS-00,2 дюйма Copper Spirit (без куба),Самогонний апарат
39497313,2 дюйма Magnum Profi,Самогонний апарат
Mag-Es,2 дюйма Magnum Spirit + екстрактор Сокслета (без куба),Самогонний апарат
4-90-2,3 дюйма відвід 90 градусів (з ніпелем),Аксесуари для самогоноваріння
93172184,3 дюйма Діоптр гайковий із підсвіткою,Аксесуари для самогоноваріння
35800370,4 дюйма Відвід 90 градусів,Аксесуари для самогоноваріння
49059243,4 дюйма Діоптр гайковий із підсвіткою,Аксесуари для самогоноваріння
MSH-4XL,4 дюйма Мідний шолом аламбік XL,Аксесуари для самогоноваріння
8825,Cковорода WOK Enders із нержавіючої сталі,Аксесуари для гриля
9712,eFLOW Pro 2 Turbo Shadow,Гриль барбекю
0771610,T-штуцер TL 12 x 12 x 12 оцинкований,Все для газу
8647,TDS-метр вимірювач вмісту солей в воді,Вимірювальні прилади
863,Ємність для бродіння 33 л із кришкою,Ємність для бродіння
1465746424,"Ємність для бродіння з гідрозатвором, краном та шкалою 33л",Ємність для бродіння
22384,Індикаторний папір PH 0-14,Вимірювальні прилади
ТGH34PL30,Інфрачервоний обігрівач газовий вуличний Heatstrip,Обігрівачі
1230,Ірландський мох 100 г - засіб для освітлення гарячого сусла,Ферменти та інші добавки
CS000039,Автоматика  PERVAK LITE 1.01 СТАРТ-СТОП,Автоматика для самогонного апарату
CS00089,"Автоматика для дистиляції та ректифікації PERVAK LITE 2,5 СТАРТ-СТОП",Автоматика для самогонного апарату
CS000042,"Автоматика для дистиляції, ректифікації та затирання Pervak",Автоматика для самогонного апарату
CS000038,Автоматика для самогонного апарату Pervak з Wi-Fi,Автоматика для самогонного апарату
CS000053,Автоматика для самогонного апарату з барометром Pervak Wi-Fi,Автоматика для самогонного апарату
CS000078,Автоматика Старт Стоп для дистиляції та ректифікації,Автоматика для самогонного апарату
CS000284,Автоматика Старт Стоп для дистиляції та ректифікації Pervak 1.0,Автоматика для самогонного апарату
CS000040,Автоматика старт-стоп для дистиляції та ректифікації,Автоматика для самогонного апарату
1644287771,"Адаптер для накладного монтажу терморегулятора Terneo, білий",Аксесуари для обігрівачів
A-0011,Аквадистилятор BSC-WD6,Дистилятор для ефірних олій
A-007,Аквадистилятор BSC-WD7,Дистилятор для ефірних олій
F0221,"Активоване кокосове вугілля 0,5 кг 207C",Очищення самогону та фільтрація
M0101,Аламбік мідний шолом 2 дюйма,Аксесуари для самогоноваріння
M0104,Аламбік мідний шолом 2 дюйма - 1.5 дюйма,Аксесуари для самогоноваріння
M0114,Аламбік мідний шолом 2 дюйма - 1.5 дюйма з термометром,Аксесуари для самогоноваріння
M0111,Аламбік мідний шолом 2 дюйма з термометром,Аксесуари для самогоноваріння
M0102,Аламбік мідний шолом 3 дюйма,Аксесуари для самогоноваріння
M0105,Аламбік мідний шолом 3 дюйма - 2 дюйма,Аксесуари для самогоноваріння
M0115,Аламбік мідний шолом 3 дюйма - 2 дюйма з термометром,Аксесуари для самогоноваріння
M0112,Аламбік мідний шолом 3 дюйма з термометром,Аксесуари для самогоноваріння
M0103,Аламбік мідний шолом 4 дюйма,Аксесуари для самогоноваріння
M0106,Аламбік мідний шолом 4 дюйма - 2 дюйма,Аксесуари для самогоноваріння
M0107,Аламбік мідний шолом 4 дюйма - 2 дюйма з діоптром,Аксесуари для самогоноваріння
M0116,Аламбік мідний шолом 4 дюйма - 2 дюйма з термометром,Аксесуари для самогоноваріння
M0113,Аламбік мідний шолом 4 дюйма з термометром,Аксесуари для самогоноваріння
D2001,Альфа амілаза 100г Hot Rod a-amylase,Ферменти та інші добавки
D2002,Альфа амілаза 5г Hot Rod a-amylase,Ферменти та інші добавки
D2005,Альфа амілаза фермент Thermo Alpha на 100 кг зерна 10 мл,Ферменти та інші добавки
1897,Апарат для виготовлення ефірних олій 12л 4 дюйма Базовий,Дистилятор для ефірних олій
CP-1406,Апарат для виготовлення ефірних олій 14л 6 дюйма Преміум,Дистилятор для ефірних олій
CP-1505,Апарат для виготовлення ефірних олій 15л 5 дюймів Преміум,Дистилятор для ефірних олій
CP-2006-ne,Апарат для виготовлення ефірних олій 20л 6 дюймів Преміум,Дистилятор для ефірних олій
CP-2008,Апарат для виготовлення ефірних олій 25л 8 дюймів Преміум,Дистилятор для ефірних олій
CP-0203,Апарат для виготовлення ефірних олій 2л 3 дюйма Базовий,Дистилятор для ефірних олій
1903,Апарат для виготовлення ефірних олій 2л 3 дюйма Преміум,Дистилятор для ефірних олій
1904,Апарат для виготовлення ефірних олій 2л 3 дюйма Преміум + подовжувач,Дистилятор для ефірних олій
1905,Апарат для виготовлення ефірних олій 2л 4 дюйма Базовий,Дистилятор для ефірних олій
CP-0204,Апарат для виготовлення ефірних олій 2л 4 дюйма Преміум,Дистилятор для ефірних олій
1907,Апарат для виготовлення ефірних олій 5л 4 дюйма Преміум,Дистилятор для ефірних олій
1908,Апарат для виготовлення ефірних олій 5л 4 дюйма Преміум + подовжувач,Дистилятор для ефірних олій
300634,Ареометр &quot;Брікс&quot; побутовий 0-35%,Вимірювальні прилади
103745,Ареометр АЗП-2 1000-1080 ГОСТ 18481-81,Вимірювальні прилади
861,Ареометр АСП100 (0-100),Вимірювальні прилади
103719,"Ареометр для спирту 0-40%, Україна",Вимірювальні прилади
АСП-3,"Ареометр для спирту 40-70%, Китай",Вимірювальні прилади
105062,"Ареометр для спирту 40-70%, Україна",Вимірювальні прилади
100906,"Ареометр для спирту 70-100%, Україна",Вимірювальні прилади
