"Внешний ID","назва укр","ціна"
"200554","Солод BEST Heidelberg","84.0000"
"200918","Солод BEST Pilsen","79.5000"
"77455","Wi-Fi модуль до пивоварні Braumeister","6300.0000"
"103745","Ареометр АЗП-2 1000-1080 ГОСТ 18481-81","197.0000"
"103719","Ареометр для спирту 0-40%, Україна","146.0000"
"105062","Ареометр для спирту 40-70%, Україна","159.0000"
"100906","Ареометр для спирту 70-100%, Україна","159.0000"
"100914","Ареометр для цукру з термометром 0-10% АСТ-2","140.0000"
"100918","Ареометр для цукру з термометром 10-20% АСТ-2","140.0000"
"21010","Гідрозатвор, шпунт-апарат","493.0000"
"77390","Дерев'яна лопатка пивовара - 70 см","540.0000"
"","","0.0000"
"","Дистиллятор ""Гранд""","0.0000"
"","Дистиллятор ""Лайт""","0.0000"
"7-103","Дистиллятор ""Люкс""","18570.0000"
"7-101.2","Дистиллятор ""Медіум"" з діоптріями","7230.0000"
"7-101.1","Дистиллятор ""Медіум""","6700.0000"
"7-008","Дистиллятор  ""Арома компакт""","15400.0000"
"7-137","Дистиллятор MOONSHINE","48800.0000"
"41010-30","Домашня пивоварня Braumeister 10 L","87442.5000"
"47070-10","Домашня пивоварня Braumeister 20 L Plus","112500.0000"
"200524","","42000.0000"
"47070","Домашня пивоварня Braumeister 10 L PLUS","99000.0000"
"45050-10","Домашня пивоварня Braumeister 50 L Plus","130500.0000"
"45050-30","Домашня пивоварня Braumeister 50 L","114550.0000"
"7-056","Дод. рівень арома мідь із діоптром","3420.0000"
"7-055","Дод. рівень арома нерж з діоптром","3090.0000"
"200966","Пивні дріжджі SAFALE K-97, 10 гр","129.0000"
"174","Пивні дріжджі SAFALE K-97, 500 гр","1.0000"
"200529","Пивні дріжджі Safale S-04, 11.5 гр","160.0000"
"1600214","Пивні дріжджі Safale S-04, 500 гр","2940.0000"
"01.03.07.01.02.02","Пивні дріжджі Safale US-05 - 11,5 гр","170.0000"
"200919","Пивні дріжджі Safale US-05, 500 гр","3010.0000"
"200947","Пивні дріжджі Saflager S-23 - 11,5 гр","106.0000"
"200929","Пивні дріжджі Saflager S-23, 500гр","1.0000"
"200926","Пивні дріжджі Saflager W-34/70 - 11,5 гр","280.0000"
"1700383","Пивні дріжджі Saflager W-34/70, 500гр","5625.0000"
"","Дріжджі Safspirit Grain, 25 гр","90.0000"
"805059","Дріжджі для віскі SafSpirit GR-2 (Grain), 500 гр","2320.0000"
"200914","Дріжджі для віскі Safspirit M-1, 25g","165.0000"
"200913","Дрожжи Safspirit Malt, 500 гр","1300.0000"
"BO-055 Var 0003","Ємність нержавіюча 220 л зі шкалою","12825.0000"
"21070","Ємність ферментаційна Fermentegg 250 л","27800.0000"
"21080","Ємність ферментаційна Fermentegg 600 л","45830.0000"
"200951","Жатецкий хмель (Saaz) - 50 гр., α-2.7%","164.0000"
"7-002","Випарний бак 13 л","3620.0000"
"7-003","","4600.0000"
"7-004","","4800.0000"
"7-005","","5200.0000"
"7-029","Випарний куб 2016 - 13 л","7200.0000"
"7-030","Испарительный куб 2016 - 21 л","1.0000"
"7-031","Испарительный куб 2016 - 36 л","1.0000"
"200","Випарний куб 2017 з мідною кришкою","1.0000"
"7-007","Колона ""Арома компакт"" 4 рівня мідь","13200.0000"
"7-006","Колона ""Арома компакт"" 4 рівня нерж.","9580.0000"
"7-051","Ковпачкова тарілка для діоптру мідь","1490.0000"
"7-050","Ковпачкова тарілка для діоптру нержавіюча сталь","975.0000"
"7-042","Кошик для солоду під казан 21 л D32 см","5600.0000"
"7-043","Кошик для солоду під казан 36 л D32 см","6055.0000"
"482-002","","12200.0000"
"482-003","","16400.0000"
"482-004","","18700.0000"
"482-005","","22300.0000"
"7-033","Перегонный куб «Доктор Губер» 21 л, без крышки","1.0000"
"7-034","Перегонный куб «Доктор Губер» 36 л, без крышки","1.0000"
"КСМ-16","Кран нержавіючий 10мм вбудований","280.0000"
"21043","Кран зливний SPEIDEL (пластик) diam. 10","305.0000"
"7-041","Кришка нержавіюча D32 см","629.0000"
"78032","Кришка нержавіюча для Braumeister 20 л","6750.0000"
"78033","Кришка нержавіюча для Braumeister 50 л","9000.0000"
"200911","Мірний циліндр 3-250-2 ГОСТ 1770-74","190.0000"
"200538","Міні-дефлегматор ""міджет""","1200.0000"
"45200","Міні пивоварня Braumeister 200 L","729000.0000"
"45201","Міні пивоварня Braumeister 200 Л Комплект (Start set)","760000.0000"
"46501","Міні пивоварня Braumeister 500 L Комплект (Start set)","1200000.0000"
"46500","Міні пивоварня Braumeister 500 L","1539000.0000"
"225","Мініспиртзавод 100 л з трирівневою колоною «арома»","783000.0000"
"226","Мініспирт-завод 100 л зі спрощеною конструкцією колони «арома»","570000.0000"
"227","Мініспиртзавод 150 л з трирівневою колоною «арома»","844000.0000"
"228","Мініспирт-завод 150 л зі спрощеною конструкцією колони «арома»","610500.0000"
"229","Мініспирт-завод 250 л","1275000.0000"
"78027","Набір для чищення","2700.0000"
"41011","Домашня пивоварня Braumeister 10 L ECO Комплект","70755.0000"
"47071","Домашня пивоварня Braumeister 20 L ECO Комплект","87665.0000"
"45051","Домашня пивоварня Braumeister 50 L ECO Комплект","127715.0000"
"РПН-С","Сітка Панченкова нержавіюча РПН-С 1м","160.0000"
"77445","Нержавіючий охолоджувач сусла для Braumeister 10 L","3825.0000"
"72899","Нержавіючий охолоджувач сусла для Braumeister 20 L","4500.0000"
"72900","Нержавіючий охолоджувач сусла для Braumeister 50 л","9450.0000"
"7-038","Ніпель для термометра з різьбленням","460.0000"
"7-063","Заснування колони АРОМА під КЛАМП","650.0000"
"7-025","","28400.0000"
"7-066","Перехідник 135 градусів","860.0000"
"9729","Пивні дріжджі Данстар Віндзор (Danstar Windsor), 11 гр","1.0000"
"21047","Пластикова ємність для бродіння Speidel 12л","1870.0000"
"21008","Пластикова ємність для бродіння Speidel 120 л","5985.0000"
"21052","Пластикова ємність для бродіння Speidel 20 л","2310.0000"
"21006","Пластикова ємність для бродіння Speidel 30 л","2255.0000"
"21007","Пластикова ємність для бродіння Speidel 60 л","5815.0000"
"7-036","Прокладка кришки випарного куба","490.0000"
"7-054","Простий джин-кошик 2 рівня","5245.0000"
"2516","Солод пшеничний BEST Wheat Malt","76.8000"
"7-044","Самогонний апарат ""Міджет"" модель 2016 року","17400.0000"
"200915","Солод карамельний BEST Caramel Munich II, 0.5 кг","48.8000"
"200916","Солод BEST Chocolate 0.25 кг","32.7000"
"200957","Солод BEST Pale Ale","79.5000"
"200560","Солод BEST Red X ®","93.0000"
"200516","Солод Pilsen (Україна)","51.8000"
"200517","Солод Шато Віденський (Chateau Vienna)","96.0000"
"200921","Солод Шато Віскі (CHÂTEAU WHISKY)","199.0000"
"200566","Солод Шато Мюнік 25 EBC","47.0000"
"200565","Солод Шато Пільсен (Chateau Pilsen)","51.0000"
"72903","Солодоподрібнювач ручний","4912.0000"
"200530","","40.0000"
"7-010","Склянка вимірювання спиртуозності","1130.0000"
"PIWO 1000 Komfort","Скляна пляшка з бугельною пробкою 1000 мл","28.0000"
"PIWO 500 Komfort","Скляна пляшка з бугельною пробкою 500 мл","21.0000"
"267","Сусловарковий котел 36 л","3181.0000"
"9731","Пивні дріжджі Danstar Windsor (Данстар Віндзор), 500 гр","1.0000"
"10812791277711V","Пивні дріжджі Nottingham Ale (Ноттингем), 11 гр","220.0000"
"9732","Пивні дріжджі Nottingham Ale (Ноттингем), 500 гр.","3800.0000"
"482-009","","7700.0000"
"482-006","","3750.0000"
"482-007","","4800.0000"
"482-008","","6800.0000"
"77354","Термосорочка для Braumeister 20 л","3600.0000"
"77355","Термосорочка для Braumeister 50 л","4950.0000"
"79263","Укорочена солодова труба для Braumeister 50 L","5880.0000"
"","Універсальна система ""Міджет"" 2017","20700.0000"
"7-020","Установка ректифікації","7900.0000"
"7-058","Фланець з ніпелем для колон 38 мм.","680.0000"
"200959","Хмель Centennial (USA) 50 гр, α-9,3%","203.0000"
"200958","ХМІЛЬ МАГНУМ (MAGNUM) - 50 гр, α-12,5%","50.0000"
"2837","Хміль Норзерн Бревер (Northern Brewer) 50g, α - 10%","60.0000"
"200528","Хміль САПФІР (SAPHIR) – 50 гр. α-4,3%","55.0000"
"285","Хміль ХАЛЕРТАУ ТРАДІШИН (TRADITION) - 25 гр. α-6,5%","35.0000"
"201001","Хмель ХАЛЛЕРТАУ ТРАДИШИН (TRADITION) - 50 гр. α-6.4%","75.0000"
"200528-1","Хміль ХЕРСБРУКЕР (Hersbrucker) – 50 гр. α-3,8%","80.0000"
"200917","Хміль ЕЛЛА (Ella™), α-14%","175.0000"
"200510","Циліндр для ареометра - 3 39/335 ГОСТ 18481-81","80.0000"
"200512","Циліндр для ареометра АНТ-1","115.0000"
"","","0.0000"
"21090","Ємність ферментаційна Fermentegg 60 л","15580.0000"
"72896","Ареометр для сусла, шкала 0-20 Plato + термометр","900.0000"
"306","Швидкознімні з'єднання (латунь)","250.0000"
"5979","Пивні дріжджі Safale WB-06 - 11,5 g","140.0000"
"2767","Дріжджі SafSpirit FD-3, 25 g","165.0000"
"1500514","Дріжджі SafSpirit FD-3, 500g","2730.0000"
"1700098","Дріжджі для віскі SafSpirit M-1 (Whiskey), 500g","2730.0000"
"РПН-М","Сітка Панченкова мідна РПН-М 1 м","285.0000"
"312","Пластиковий баранець з гравіюванням","115.0000"
"313","Прокладка 95х75х3мм","65.0000"
"315","Прокладка фланця колони 2016","350.0000"
"316","Сито для шишкового хмелю","3375.0000"
"317","Скляний діоптр 3''","1900.0000"
"201200","Хміль Cascade USA (Каскад) 50 г, α-6.5%","212.0000"
"72897","Циліндр 100 мл пласт. для ареометра","405.0000"
"77377","КЕГ КОРНЕЛІУС (CORNELIUS), 18 Л","7740.0000"
"3223","Солод BEST Melanoidin","86.2000"
