"Внешний ID","категорія","назва укр","назва рос","ціна"
"200554","Солод для пива","Солод BEST Heidelberg","Солод BEST Heidelberg","84.0000"
"200918","Солод для пива","Солод BEST Pilsen","Солод BEST Pilsen","79.5000"
"77455","Аксесуари для пивоварні","Wi-Fi модуль до пивоварні Braumeister","Wi-Fi модуль до пивоварні Braumeister","6300.0000"
"103745","Вимірювальні прилади","Ареометр АЗП-2 1000-1080 ГОСТ 18481-81","Ареометр АЗП-2 1000-1080 ГОСТ 18481-81","197.0000"
"103719","Вимірювальні прилади","Ареометр для спирту 0-40%, Україна","Ареометр для спирту 0-40%, Україна","146.0000"
"105062","Вимірювальні прилади","Ареометр для спирту 40-70%, Україна","Ареометр для спирту 40-70%, Україна","159.0000"
"100906","Вимірювальні прилади","Ареометр для спирту 70-100%, Україна","Ареометр для спирту 70-100%, Україна","159.0000"
"100914","Вимірювальні прилади","Ареометр для цукру з термометром 0-10% АСТ-2","Ареометр для цукру з термометром 0-10% АСТ-2","140.0000"
"100918","Вимірювальні прилади","Ареометр для цукру з термометром 10-20% АСТ-2","Ареометр для цукру з термометром 10-20% АСТ-2","140.0000"
"21010","Комплектуючі","Гідрозатвор, шпунт-апарат","Гідрозатвор, шпунт-апарат","493.0000"
"77390","Аксесуари для пивоварні","Дерев'яна лопатка пивовара - 70 см","Дерев'яна лопатка пивовара - 70 см","540.0000"
"","Самогонний апарат","","Дистиллятор","0.0000"
"","Самогонний апарат","Дистиллятор ""Гранд""","Дистиллятор ""Гранд""","0.0000"
"","Самогонний апарат","Дистиллятор ""Лайт""","Дистиллятор ""Лайт""","0.0000"
"7-103","Самогонний апарат","Дистиллятор ""Люкс""","Дистиллятор ""Люкс""","18570.0000"
"7-101.2","Самогонний апарат","Дистиллятор ""Медіум"" з діоптріями","Дистиллятор ""Медиум"" с диоптром","7230.0000"
"7-101.1","Самогонний апарат","Дистиллятор ""Медіум""","Дистиллятор ""Медиум""","6700.0000"
"7-008","Самогонний апарат","Дистиллятор  ""Арома компакт""","Дистиллятор  ""Арома компакт""","15400.0000"
"7-137","Самогонний апарат","Дистиллятор MOONSHINE","Дистиллятор MOONSHINE","48800.0000"
"41010-30","ДОМАШНЯ ПИВОВАРНЯ","Домашня пивоварня Braumeister 10 L","Домашня пивоварня Braumeister 10 L","87442.5000"
"47070-10","ДОМАШНЯ ПИВОВАРНЯ","Домашня пивоварня Braumeister 20 L Plus","Домашня пивоварня Braumeister 20 L Plus","112500.0000"
"200524","ДОМАШНЯ ПИВОВАРНЯ","","Домашняя пивоварня Braumeister 20 Л б/у","42000.0000"
"47070","ДОМАШНЯ ПИВОВАРНЯ","Домашня пивоварня Braumeister 10 L PLUS","Домашня пивоварня Braumeister 10 L PLUS","99000.0000"
"45050-10","ДОМАШНЯ ПИВОВАРНЯ","Домашня пивоварня Braumeister 50 L Plus","Домашня пивоварня Braumeister 50 L Plus","130500.0000"
"45050-30","ДОМАШНЯ ПИВОВАРНЯ","Домашня пивоварня Braumeister 50 L","Домашня пивоварня Braumeister 50 L","114550.0000"
"7-056","Аксесуари для самогоноваріння","Дод. рівень арома мідь із діоптром","Дод. рівень арома мідь із діоптром","3420.0000"
"7-055","Аксесуари для самогоноваріння","Дод. рівень арома нерж з діоптром","Дод. рівень арома нерж з діоптром","3090.0000"
"200966","Пивні дріжжі","Пивні дріжджі SAFALE K-97, 10 гр","Пивні дріжджі SAFALE K-97, 10 гр","129.0000"
"174","Пивні дріжжі","Пивні дріжджі SAFALE K-97, 500 гр","Пивні дріжджі SAFALE K-97, 500 гр","1.0000"
"200529","Пивні дріжжі","Пивні дріжджі Safale S-04, 11.5 гр","Пивні дріжджі Safale S-04, 11.5 гр","160.0000"
"1600214","Пивні дріжжі","Пивні дріжджі Safale S-04, 500 гр","Пивні дріжджі Safale S-04, 500 гр","2940.0000"
"01.03.07.01.02.02","Пивні дріжжі","Пивні дріжджі Safale US-05 - 11,5 гр","Пивні дріжджі Safale US-05 - 11,5 гр","170.0000"
"200919","Пивні дріжжі","Пивні дріжджі Safale US-05, 500 гр","Пивні дріжджі Safale US-05, 500 гр","3010.0000"
"200947","Пивні дріжжі","Пивні дріжджі Saflager S-23 - 11,5 гр","Пивні дріжджі Saflager S-23 - 11,5 гр","106.0000"
"200929","Пивні дріжжі","Пивні дріжджі Saflager S-23, 500гр","Пивні дріжджі Saflager S-23, 500гр","1.0000"
