row,category,price_name,query,sku,url,status,score,matched_title,second_score,second_title
5,"ПЕРЕГІННІ КУБИ МАГНУМ ЛАЙТ
(ОДНОШАРОВЕ ДНО)","14л/2"" Перегінний куб Магнум Лайт","14л/2"" Перегінний куб Магнум Лайт",Mag-S14-1,https://hmel-master.com/ua/p2335906162-14l2-peregonnyj-kub.html,правильний,0.9852,"14л/2"" Перегінний куб Магнум Лайт (одношарове дно)",0.4928,БК Pioneer с кубом серії Магнум Лайт
6,"ПЕРЕГІННІ КУБИ МАГНУМ ЛАЙТ
(ОДНОШАРОВЕ ДНО)","21л/2"" Перегінний куб Магнум Лайт","21л/2"" Перегінний куб Магнум Лайт",Mag-S21-1,https://hmel-master.com/ua/p2248396154-21l2-peregonnyj-kub.html,правильний,0.9852,"21л/2"" Перегінний куб Магнум Лайт (одношарове дно)",0.4928,БК Pioneer с кубом серії Магнум Лайт
7,"ПЕРЕГІННІ КУБИ МАГНУМ ЛАЙТ
(ОДНОШАРОВЕ ДНО)","33л/2"" Перегінний куб Магнум Лайт","33л/2"" Перегінний куб Магнум Лайт",Mag-S33-2,https://hmel-master.com/ua/p2335906163-33l2-peregonnyj-kub.html,правильний,0.9693,"33л/2"" Перегінний куб Магнум Лайт (одношарове дно) + кламп під тен",0.4928,БК Pioneer с кубом серії Магнум Лайт
8,"ПЕРЕГІННІ КУБИ МАГНУМ ЛАЙТ
(ОДНОШАРОВЕ ДНО)","14л/2"" Перегінний куб Магнум Лайт (під тен)","14л/2"" Перегінний куб Магнум Лайт (під тен)",Mag-S14-1,https://hmel-master.com/ua/p2335906162-14l2-peregonnyj-kub.html,Не точно,0.7273,"14л/2"" Перегінний куб Магнум Лайт (одношарове дно)",0.4854,"1/2"" - 1,5"" Перехідник на кламп (внутрішнє різьблення)"
9,"ПЕРЕГІННІ КУБИ МАГНУМ ЛАЙТ
(ОДНОШАРОВЕ ДНО)","21л/2"" Перегінний куб Магнум Лайт (під тен)","21л/2"" Перегінний куб Магнум Лайт (під тен)",Mag-S21-1,https://hmel-master.com/ua/p2248396154-21l2-peregonnyj-kub.html,Не точно,0.7273,"21л/2"" Перегінний куб Магнум Лайт (одношарове дно)",0.4854,"1/2"" - 1,5"" Перехідник на кламп (внутрішнє різьблення)"
10,"ПЕРЕГІННІ КУБИ МАГНУМ ЛАЙТ
(ОДНОШАРОВЕ ДНО)","33л/2"" Перегінний куб Магнум Лайт (під тен)","33л/2"" Перегінний куб Магнум Лайт (під тен)",Mag-S33-2,https://hmel-master.com/ua/p2335906163-33l2-peregonnyj-kub.html,Не точно,0.9448,"33л/2"" Перегінний куб Магнум Лайт (одношарове дно) + кламп під тен",0.466,"1/2"" - 1,5"" Перехідник на кламп (внутрішнє різьблення)"
12,"25л
ФІРМОВИЙ ПЕРЕГІННИЙ КУБ
(ТРИШАРОВЕ ДНО)","25л/2"" Фірмовий перегінний куб","25л/2"" Фірмовий перегінний куб",MAG25M-1,https://hmel-master.com/ua/p2202121203-25l2-firmennyj-peregonnyj.html,Не точно,0.7789,25л Фірмовий перегінний куб з мідною кришкою,0.727,25л Фірмовий перегінний куб (тришарове дно) + кламп під тен
13,"25л
ФІРМОВИЙ ПЕРЕГІННИЙ КУБ
(ТРИШАРОВЕ ДНО)","25л/2"" Фірмовий перегінний куб (під тен)","25л/2"" Фірмовий перегінний куб (під тен)",32894603,https://hmel-master.com/ua/p1204242474-25l-firmennyj-peregonnyj.html,Не точно,0.857,25л Фірмовий перегінний куб (тришарове дно) + кламп під тен,0.7391,25л Фірмовий перегінний куб з мідною кришкою
14,"40л
ФІРМОВИЙ ПЕРЕГІННИЙ КУБ
(ТРИШАРОВЕ ДНО)","40л/2"" Фірмовий перегінний куб","40л/2"" Фірмовий перегінний куб",MAG1121-2,https://hmel-master.com/ua/p2930681896-40l-firmennyj-peregonnyj.html,Не точно,0.7882,40л Фірмовий перегінний куб (тришарове дно),0.7789,40л Фірмовий перегінний куб з мідною кришкою
15,"40л
ФІРМОВИЙ ПЕРЕГІННИЙ КУБ
(ТРИШАРОВЕ ДНО)","40л/3"" Фірмовий перегінний куб","40л/3"" Фірмовий перегінний куб",MAG1121-2,https://hmel-master.com/ua/p2930681896-40l-firmennyj-peregonnyj.html,Не точно,0.7882,40л Фірмовий перегінний куб (тришарове дно),0.7789,40л Фірмовий перегінний куб з мідною кришкою
16,"40л
ФІРМОВИЙ ПЕРЕГІННИЙ КУБ
(ТРИШАРОВЕ ДНО)","40л/4"" Фірмовий перегінний куб","40л/4"" Фірмовий перегінний куб",MAG1121-2,https://hmel-master.com/ua/p2930681896-40l-firmennyj-peregonnyj.html,Не точно,0.7882,40л Фірмовий перегінний куб (тришарове дно),0.7789,40л Фірмовий перегінний куб з мідною кришкою
